pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7upw	D	E	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	08/10/22	Three RBD-down state of SARS-CoV-2 D614G spike in complex with the SP1-77 neutralizing antibody Fab fragment	Homo sapiens; Mus musculus; Severe acute respiratory syndrome coronavirus	homo sapiens, mus musculus	homo sapiens, mus musculus	severe acute respiratory syndrome coronavirus	Zhang, J., Luo, S., Kreutzberger, A., Kirchhausen, T., Chen, B., Haynes, B., Alt, F.	3.44	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7upw	F	G	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	08/10/22	Three RBD-down state of SARS-CoV-2 D614G spike in complex with the SP1-77 neutralizing antibody Fab fragment	Homo sapiens; Mus musculus; Severe acute respiratory syndrome coronavirus	homo sapiens, mus musculus	homo sapiens, mus musculus	severe acute respiratory syndrome coronavirus	Zhang, J., Luo, S., Kreutzberger, A., Kirchhausen, T., Chen, B., Haynes, B., Alt, F.	3.44	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7upy	D	E	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	08/10/22	One RBD-up state of SARS-CoV-2 D614G spike in complex with the SP1-77 neutralizing antibody Fab fragment	Homo sapiens; Mus musculus; Severe acute respiratory syndrome coronavirus	homo sapiens, mus musculus	homo sapiens, mus musculus	severe acute respiratory syndrome coronavirus	Zhang, J., Luo, S., Kreutzberger, A., Kirchhausen, T., Chen, B., Haynes, B., Alt, F.	3.44	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7upy	F	G	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	08/10/22	One RBD-up state of SARS-CoV-2 D614G spike in complex with the SP1-77 neutralizing antibody Fab fragment	Homo sapiens; Mus musculus; Severe acute respiratory syndrome coronavirus	homo sapiens, mus musculus	homo sapiens, mus musculus	severe acute respiratory syndrome coronavirus	Zhang, J., Luo, S., Kreutzberger, A., Kirchhausen, T., Chen, B., Haynes, B., Alt, F.	3.44	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7upy	H	L	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	08/10/22	One RBD-up state of SARS-CoV-2 D614G spike in complex with the SP1-77 neutralizing antibody Fab fragment	Homo sapiens; Mus musculus; Severe acute respiratory syndrome coronavirus	homo sapiens, mus musculus	homo sapiens, mus musculus	severe acute respiratory syndrome coronavirus	Zhang, J., Luo, S., Kreutzberger, A., Kirchhausen, T., Chen, B., Haynes, B., Alt, F.	3.44	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4u0r	B	C	0	A	protein	NA	reticulocyte binding protein 5	IMMUNE SYSTEM	07/14/14	Plasmodium falciparum reticulocyte-binding protein homologue 5 (PfRH5) bound to monoclonal antibody 9AD4	PLASMODIUM FALCIPARUM; ORYCTOLAGUS CUNICULUS	oryctolagus cuniculus	oryctolagus cuniculus	plasmodium falciparum	Wright, K.E., Hjerrild, K.A., Bartlett, J., Douglas, A.D., Jin, J., Brown, R.E., Ashfield, R., Clemmensen, S.B., de Jongh, W.A., Draper, S.J., Higgins, M.K.	2.3	X-RAY DIFFRACTION	0.258	0.221	False	True	IGHV5	IGKV3	Kappa	None	None	None	None	None
6wno	E	F	0	D	protein	NA	plasmodium vivax reticulocyte binding protein 2b	CELL INVASION	04/23/20	Plasmodium vivax reticulocyte binding protein 2b (PvRBP2b) bound to human monoclonal antibody 243244	HOMO SAPIENS; PLASMODIUM VIVAX (STRAIN SALVADOR I)	homo sapiens	homo sapiens	plasmodium vivax (strain salvador i)	Chan, L.J., Dietrich, M.H., Tham, W.H.	3.35	X-RAY DIFFRACTION	0.284	0.245	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
6wno	B	C	0	A	protein	NA	plasmodium vivax reticulocyte binding protein 2b	CELL INVASION	04/23/20	Plasmodium vivax reticulocyte binding protein 2b (PvRBP2b) bound to human monoclonal antibody 243244	HOMO SAPIENS; PLASMODIUM VIVAX (STRAIN SALVADOR I)	homo sapiens	homo sapiens	plasmodium vivax (strain salvador i)	Chan, L.J., Dietrich, M.H., Tham, W.H.	3.35	X-RAY DIFFRACTION	0.284	0.245	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
6o3a	B	A	0	E	protein	NA	frizzled-7	SIGNALING PROTEIN	02/26/19	Crystal structure of Frizzled 7 CRD in complex with F7.B Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Raman, S., Beilschmidt, M., Fransson, J., Julien, J.P.	2.1	X-RAY DIFFRACTION	0.242	0.192	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
5xxy	H	L	0	A	protein	NA	programmed cell death 1 ligand 1	IMMUNE SYSTEM	07/05/17	Complex structure of PD-L1 with atezolizumab Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Zhou, A., Zhang, F.	2.9	X-RAY DIFFRACTION	0.295	0.23600000000000002	False	True	IGHV3	IGKV1	Kappa	9.960000000000001e-09	-10.916327402549168	ELISA	NA	TBD
7yrf	F	E	0	C	protein	NA	capsid protein vp3	STRUCTURAL PROTEIN	09/14/22	Cryo-EM structure of compact CA16 empty particle in complex with a neutralizing antibody 8C4	Coxsackievirus A16	coxsackievirus a16	coxsackievirus a16	coxsackievirus a16	Cong, Y., Liu, C.X.	2.91	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV13	Kappa	None	None	None	None	None
4ene	C	D	0	A	protein	NA	h(+)/cl(-) exchange transporter clca	TRANSPORT PROTEIN	04/13/12	Structure of the N- and C-terminal trimmed ClC-ec1 Cl-/H+ antiporter and Fab Complex	ESCHERICHIA COLI K-12; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli k-12	Hyun-Ho Lim, Shane, T., Miller, C.	2.4	X-RAY DIFFRACTION	0.278	0.239	False	True	IGHV4	IGKV4	Kappa	None	None	None	None	None
4ene	E	F	0	B	protein	NA	h(+)/cl(-) exchange transporter clca	TRANSPORT PROTEIN	04/13/12	Structure of the N- and C-terminal trimmed ClC-ec1 Cl-/H+ antiporter and Fab Complex	ESCHERICHIA COLI K-12; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli k-12	Hyun-Ho Lim, Shane, T., Miller, C.	2.4	X-RAY DIFFRACTION	0.278	0.239	False	True	IGHV4	IGKV4	Kappa	None	None	None	None	None
5o4o	B	A	0	C	protein	NA	receptor tyrosine-protein kinase erbb-3	IMMUNE SYSTEM	05/30/17	HER3 in complex with Fab MF3178	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	De Nardis, C., Gros, P.	3.4	X-RAY DIFFRACTION	0.261	0.215	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5o4g	B	A	0	C	protein	NA	receptor tyrosine-protein kinase erbb-2	ONCOPROTEIN	05/29/17	HER2 in complex with Fab MF3958	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	De Nardis, C., Gros, P.	3.0	X-RAY DIFFRACTION	0.271	0.229	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4lf3	E	D	0	F	protein	NA	glucagon receptor	IMMUNE SYSTEM	06/26/13	Inhibitory Mechanism of an Allosteric Antibody Targeting the Glucagon Receptor	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Murray, J.M., Mukund, S.	2.735	X-RAY DIFFRACTION	0.264	0.209	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4lf3	B	A	0	C	protein	NA	glucagon receptor	IMMUNE SYSTEM	06/26/13	Inhibitory Mechanism of an Allosteric Antibody Targeting the Glucagon Receptor	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Murray, J.M., Mukund, S.	2.735	X-RAY DIFFRACTION	0.264	0.209	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4tvp	D	E	0	B	protein	NA	envelope glycoprotein gp160	VIRAL PROTEIN/IMMUNE SYSTEM	06/27/14	Structure of BG505 SOSIP.664 in complex with broadly neutralizing antibodies, PGT122 and 35O22	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Pancera, M., Zhou, T., Kwong, P.D.	3.1	X-RAY DIFFRACTION	0.248	0.214	False	True	unknown	unknown	unknown	None	None	None	None	None
4tvp	H	L	0	G	protein	NA	envelope glycoprotein gp160	VIRAL PROTEIN/IMMUNE SYSTEM	06/27/14	Structure of BG505 SOSIP.664 in complex with broadly neutralizing antibodies, PGT122 and 35O22	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Pancera, M., Zhou, T., Kwong, P.D.	3.1	X-RAY DIFFRACTION	0.248	0.214	False	True	IGHV4	unknown	unknown	None	None	None	None	None
7epx	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	05/18/22	S protein of SARS-CoV-2 in complex with GW01	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Shen, Y.P., Zhang, Y.Y., Yan, R.H., Li, Y.N., Zhou, Q.	3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7epx	I	M	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	05/18/22	S protein of SARS-CoV-2 in complex with GW01	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Shen, Y.P., Zhang, Y.Y., Yan, R.H., Li, Y.N., Zhou, Q.	3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
3fb7	A	B	0	C	protein	NA	voltage-gated potassium channel	membrane protein/metal transport	11/18/08	Open KcsA potassium channel in the presence of Rb+ ion	STREPTOMYCES LIVIDANS; MUS MUSCULUS	mus musculus	mus musculus	streptomyces lividans	Cuello, L.G., Jogini, V., Cortes, D.M, Pan, A.C., Gagnon, D.H., Cordero-Morales, J.F., Chakrapani, S., Roux, B., Perozo, E.	3.3	X-RAY DIFFRACTION	0.255	0.241	False	False	IGHV1	IGKV5	Kappa	None	None	None	None	None
3fb6	A	B	0	C	protein	NA	voltage-gated potassium channel	membrane protein/metal transport	11/18/08	KcsA Potassium channel in the partially open state with 16 A opening at T112	STREPTOMYCES LIVIDANS; MUS MUSCULUS	mus musculus	mus musculus	streptomyces lividans	Cuello, L.G., Jogini, V., Cortes, D.M., Perozo, E.	3.0	X-RAY DIFFRACTION	0.255	0.248	False	False	IGHV1	IGKV5	Kappa	None	None	None	None	None
2iff	H	L	0	Y	protein	NA	hen egg white lysozyme	IMMUNOGLOBULIN/HYDROLASE(O-GLYCOSYL)	02/03/94	STRUCTURE OF AN ANTIBODY-LYSOZYME COMPLEX: EFFECT OF A CONSERVATIVE MUTATION	MUS MUSCULUS; GALLUS GALLUS	mus musculus	mus musculus	gallus gallus	Chacko, S., Davies, D.R.	2.65	X-RAY DIFFRACTION	unknown	unknown	False	True	IGHV1	IGKV4	Kappa	1e-08	-10.913952715282035	Unknown	NA	TBD
7jti	H	L	0	A	protein	NA	retinol-binding protein 3	TRANSPORT PROTEIN/IMMUNE SYSTEM	08/17/20	Interphotoreceptor retinoid-binding protein (IRBP) in complex with a monoclonal antibody (F3F5 mAb5)	MUS MUSCULUS; BOS TAURUS	mus musculus	mus musculus	bos taurus	Sears, A.E., Albiez, S., Gulati, S., Wang, B., Kiser, P., Kovacik, L., Engel, A., Stahlberg, H., Palczewski, K.	7.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV2	IGLV1	Lambda	None	None	None	None	None
7jtg	A	B	0	E	protein	NA	envelope glycoprotein e2	IMMUNE SYSTEM/VIRAL PROTEIN	03/10/21	Structure of Hepatitis C Virus Envelope Glycoprotein E2 core from genotype 6a bound to broadly neutralizing antibody RM11-43	MACACA MULATTA; RECOMBINANT HEPATITIS C VIRUS HK6A/JFH-1	macaca mulatta	macaca mulatta	recombinant hepatitis c virus hk6a/jfh-1	Tzarum, N., Wilson, I.A., Law, M.	2.6	X-RAY DIFFRACTION	0.269	0.222	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7jtf	A	B	0	E	protein	NA	envelope glycoprotein e2	IMMUNE SYSTEM/VIRAL PROTEIN	03/10/21	Structure of Hepatitis C Virus Envelope Glycoprotein E2 core from genotype 6a bound to broadly neutralizing antibody RM2-01	MACACA MULATTA; RECOMBINANT HEPATITIS C VIRUS HK6A/JFH-1	macaca mulatta	macaca mulatta	recombinant hepatitis c virus hk6a/jfh-1	Tzarum, N., Wilson, I.A., Law, M.	3.35	X-RAY DIFFRACTION	0.296	0.242	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7jtf	C	D	0	F	protein	NA	envelope glycoprotein e2	IMMUNE SYSTEM/VIRAL PROTEIN	03/10/21	Structure of Hepatitis C Virus Envelope Glycoprotein E2 core from genotype 6a bound to broadly neutralizing antibody RM2-01	MACACA MULATTA; RECOMBINANT HEPATITIS C VIRUS HK6A/JFH-1	macaca mulatta	macaca mulatta	recombinant hepatitis c virus hk6a/jfh-1	Tzarum, N., Wilson, I.A., Law, M.	3.35	X-RAY DIFFRACTION	0.296	0.242	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4f15	K	L	0	J	protein	NA	hemagglutinin	IMMUNE SYSTEM	05/06/12	Molecular basis of infectivity of 2009 pandemic H1N1 influenza A viruses	INFLUENZA A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus	Kim, K.H., Cho, K.J., Lee, J.H., Park, Y.H., Khan, T.G., Lee, J.Y., Kang, S.H., Alam, I.	2.81	X-RAY DIFFRACTION	0.289	0.233	False	False	IGHV3	IGKV7	Kappa	None	None	None	None	None
4f15	H	I	0	G	protein	NA	hemagglutinin	IMMUNE SYSTEM	05/06/12	Molecular basis of infectivity of 2009 pandemic H1N1 influenza A viruses	INFLUENZA A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus	Kim, K.H., Cho, K.J., Lee, J.H., Park, Y.H., Khan, T.G., Lee, J.Y., Kang, S.H., Alam, I.	2.81	X-RAY DIFFRACTION	0.289	0.233	False	False	IGHV3	IGKV7	Kappa	None	None	None	None	None
4f15	E	F	0	D	protein	NA	hemagglutinin	IMMUNE SYSTEM	05/06/12	Molecular basis of infectivity of 2009 pandemic H1N1 influenza A viruses	INFLUENZA A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus	Kim, K.H., Cho, K.J., Lee, J.H., Park, Y.H., Khan, T.G., Lee, J.Y., Kang, S.H., Alam, I.	2.81	X-RAY DIFFRACTION	0.289	0.233	False	False	IGHV3	IGKV7	Kappa	None	None	None	None	None
4f15	B	C	0	A	protein	NA	hemagglutinin	IMMUNE SYSTEM	05/06/12	Molecular basis of infectivity of 2009 pandemic H1N1 influenza A viruses	INFLUENZA A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus	Kim, K.H., Cho, K.J., Lee, J.H., Park, Y.H., Khan, T.G., Lee, J.Y., Kang, S.H., Alam, I.	2.81	X-RAY DIFFRACTION	0.289	0.233	False	False	IGHV3	IGKV7	Kappa	None	None	None	None	None
7rah	D	C	0	E	protein	NA	bifunctional adenylate cyclase toxin/hemolysin cyaa,bifunctional adenylate cyclase toxin/hemolysin cyaa 	IMMUNE SYSTEM/TOXIN	09/15/21	Adenylate cyclase toxin RTX domain fragment bound to M1H5 Fab and M2B10 Fab	MUS MUSCULUS; BORDETELLA PERTUSSIS	mus musculus	mus musculus	bordetella pertussis	Goldsmith, J.A., McLellan, J.S.	2.6	X-RAY DIFFRACTION	0.218	0.195	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
7rah	B	A	0	E	protein	NA	bifunctional adenylate cyclase toxin/hemolysin cyaa,bifunctional adenylate cyclase toxin/hemolysin cyaa 	IMMUNE SYSTEM/TOXIN	09/15/21	Adenylate cyclase toxin RTX domain fragment bound to M1H5 Fab and M2B10 Fab	MUS MUSCULUS; BORDETELLA PERTUSSIS	mus musculus	mus musculus	bordetella pertussis	Goldsmith, J.A., McLellan, J.S.	2.6	X-RAY DIFFRACTION	0.218	0.195	False	True	IGHV5	IGKV10	Kappa	None	None	None	None	None
5ec2	A	B	0	C	protein	NA	ph-gated potassium channel kcsa	MEMBRANE PROTEIN	10/20/15	KcsA with V76ester+G77dA mutations	MUS MUSCULUS; STREPTOMYCES LIVIDANS	mus musculus	mus musculus	streptomyces lividans	Matulef, K., Valiyaveetil, F.I.	2.3	X-RAY DIFFRACTION	0.259	0.230	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None
5ec1	A	B	0	C	protein	NA	ph-gated potassium channel kcsa	MEMBRANE PROTEIN	10/20/15	KcsA with V76ester mutation	MUS MUSCULUS; STREPTOMYCES LIVIDANS	mus musculus	mus musculus	streptomyces lividans	Matulef, K., Valiyaveetil, F.I.	2.75	X-RAY DIFFRACTION	0.268	0.244	False	True	IGHV1	IGKV5	Kappa	None	None	None	None	None
1r0a	H	L	0	B	protein	NA	reverse transcriptase	Transferase/immune system/DNA	09/19/03	Crystal structure of HIV-1 reverse transcriptase covalently tethered to DNA template-primer solved to 2.8 angstroms	HUMAN IMMUNODEFICIENCY VIRUS 1; MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human immunodeficiency virus 1	Tuske, S., Ding, J., Arnold, E.	2.8	X-RAY DIFFRACTION	0.272	0.239	False	False	IGHV8	IGKV10	Kappa	None	None	None	None	None
4cc8	I	K	0	G	protein	NA	gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/30/13	Pre-fusion structure of trimeric HIV-1 envelope glycoprotein determined by cryo-electron microscopy	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Bartesaghi, A., Merk, A., Borgnia, M.J., Milne, J.L.S., Subramaniam, S.	6.0	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	IGKV3	Kappa	None	None	None	None	None
4cc8	H	L	0	E	protein	NA	gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/30/13	Pre-fusion structure of trimeric HIV-1 envelope glycoprotein determined by cryo-electron microscopy	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Bartesaghi, A., Merk, A., Borgnia, M.J., Milne, J.L.S., Subramaniam, S.	6.0	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	IGKV3	Kappa	None	None	None	None	None
4cc8	F	J	0	D	protein	NA	gp120	VIRAL PROTEIN/IMMUNE SYSTEM	10/30/13	Pre-fusion structure of trimeric HIV-1 envelope glycoprotein determined by cryo-electron microscopy	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Bartesaghi, A., Merk, A., Borgnia, M.J., Milne, J.L.S., Subramaniam, S.	6.0	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	IGKV3	Kappa	None	None	None	None	None
7k66	B	C	0	A	protein	NA	coagulation factor viii,coagulation factor viii,coagulationfactor viii,coagulation factor viii 	BLOOD CLOTTING/Immune System	09/18/20	Structure of Blood Coagulation Factor VIII in Complex with an Anti-C1 Domain Pathogenic Antibody Inhibitor	SUS SCROFA; HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	sus scrofa, homo sapiens	Childers, K.C., Gish, J., Jarvis, L., Peters, S., Garrels, C., Smith, I.W., Spencer, H.T., Spiegel, P.C.	3.92	X-RAY DIFFRACTION	0.322	0.226	False	True	IGHV9	IGKV4	Kappa	None	None	None	None	None
6bdz	H	L	0	A	protein	NA	disintegrin and metalloproteinase domain-containing protein10 	MEMBRANE PROTEIN	10/24/17	ADAM10 Extracellular Domain Bound by the 11G2 Fab	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Seegar, T.C.M.	3.1	X-RAY DIFFRACTION	0.317	0.261	False	True	IGHV2	IGKV4	Kappa	None	None	None	None	None
7f6y	H	L	0	R	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	06/29/22	Complex Structure of antibody BD-503 and RBD-E484K of COVID-19	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xu, H., Wang, B., Zhao, T.N., Su, X.D.	3	X-RAY DIFFRACTION	0.253	0.198	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7m8l	N	Q	0	E	protein	NA	virion spike glycoprotein 2	VIRAL PROTEIN/IMMUNE SYSTEM	11/10/21	EBOV GP bound to rEBOV-442 and rEBOV-515 Fabs	EBOLA VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
7m8l	H	K	0	B	protein	NA	virion spike glycoprotein 1	VIRAL PROTEIN/IMMUNE SYSTEM	11/10/21	EBOV GP bound to rEBOV-442 and rEBOV-515 Fabs	EBOLA VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7m8l	G	J	0	A	protein	NA	virion spike glycoprotein 1	VIRAL PROTEIN/IMMUNE SYSTEM	11/10/21	EBOV GP bound to rEBOV-442 and rEBOV-515 Fabs	EBOLA VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7m8l	I	L	0	C	protein	NA	virion spike glycoprotein 1	VIRAL PROTEIN/IMMUNE SYSTEM	11/10/21	EBOV GP bound to rEBOV-442 and rEBOV-515 Fabs	EBOLA VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7m8l	M	P	0	D	protein	NA	virion spike glycoprotein 2	VIRAL PROTEIN/IMMUNE SYSTEM	11/10/21	EBOV GP bound to rEBOV-442 and rEBOV-515 Fabs	EBOLA VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
7m8l	O	R	0	F	protein	NA	virion spike glycoprotein 2	VIRAL PROTEIN/IMMUNE SYSTEM	11/10/21	EBOV GP bound to rEBOV-442 and rEBOV-515 Fabs	EBOLA VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	ebola virus	Murin, C.D., Ward, A.B.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
5lsp	H	L	0	A	protein	NA	hepatocyte growth factor receptor	TRANSFERASE	09/05/16	107_A07 Fab in complex with fragment of the Met receptor	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	DiCara, D., Chirgadze, D.Y., Pope, A., Karatt-Vellatt, A., Winter, A., van den Heuvel, J., Gherardi, E., McCafferty, J.	2.605	X-RAY DIFFRACTION	0.257	0.215	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5lsp	S	T	0	P	protein	NA	hepatocyte growth factor receptor	TRANSFERASE	09/05/16	107_A07 Fab in complex with fragment of the Met receptor	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	DiCara, D., Chirgadze, D.Y., Pope, A., Karatt-Vellatt, A., Winter, A., van den Heuvel, J., Gherardi, E., McCafferty, J.	2.605	X-RAY DIFFRACTION	0.257	0.215	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7f6z	H	L	0	R	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	06/29/22	Complex Structure of antibody BD-503 and RBD-501Y.V2 of COVID-19	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xu, H., Wang, B., Zhao, T.N., Su, X.D.	3	X-RAY DIFFRACTION	0.254	0.207	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4m62	I	M	0	T	protein	NA	t117	IMMUNE SYSTEM	08/08/13	Ontogeny of recognition specificity and functionality for the anti-HIV neutralizing antibody 4E10	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Finton, K.A.K.	1.8	X-RAY DIFFRACTION	0.21600000000000005	0.189	False	True	IGHV1	IGKV3	Kappa	2.57e-09	-11.718947964134085	SPR	NA	TBD
4m62	H	L	0	S	protein	NA	t117	IMMUNE SYSTEM	08/08/13	Ontogeny of recognition specificity and functionality for the anti-HIV neutralizing antibody 4E10	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Finton, K.A.K.	1.8	X-RAY DIFFRACTION	0.21600000000000005	0.189	False	True	IGHV1	IGKV3	Kappa	2.57e-09	-11.718947964134085	SPR	NA	TBD
7yr1	D	F	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/19/22	SARS-CoV-2 BA.2.75 S Trimer in complex with XG2v024	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, L.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7yr1	E	G	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/19/22	SARS-CoV-2 BA.2.75 S Trimer in complex with XG2v024	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, L.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7yr1	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	10/19/22	SARS-CoV-2 BA.2.75 S Trimer in complex with XG2v024	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, L.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7umm	I	M	0	B	protein	NA	hemagglutinin	VIRAL PROTEIN	11/23/22	H1 Solomon Islands 2006 hemagglutinin in complex with Ab109	Influenza A virus (A/Solomon Islands/3/2006(H1N1)); Mus musculus	mus musculus	mus musculus	influenza a virus (a/solomonislands/3/2006(h1n1)) 	Windsor, I.W., Caradonna, T.M., Schmidt, A.G.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
